Colony,Treatment,Period,AdultWorkers,BroodCells,Honey ,Mites,Survived
C8,OAV,0,14944.5,18392,32436.8,5,1
30,OAV,0,9811.125,13376,17723.2,4.333333333,1
C6,CTRL,0,13243.5,17890.4,27086.4,5,1
C5,OAV,0,12119.625,9530.4,12874.4,8,1
SRC3,CTRL,0,19197,25247.2,21568.8,9,1
C2,OAV,0,11360.25,13543.2,8527.2,7.666666667,1
C1,CTRL,0,19014.75,24745.6,11704,3.333333333,1
C12,CTRL,0,21596.625,10700.8,20064,4.333333333,1
C15,OAV,0,13365,22990,19395.2,9.33,1
C9,CTRL,0,14944.5,25748.8,24578.4,7,1
13,OAV,0,16281,18726.4,23240.8,2,1
C33,CTRL,0,14154.75,17890.4,32604,8.33,1
8,OAV,0,8808.75,22906.4,17221.6,4.67,1
N51,OAV,0,11451.375,19813.2,42301.6,3,1
N42,CTRL,0,12393,23575.2,38924.16,2,1
BC15,CTRL,0,20776.5,20565.6,41465.6,2,1
B1,OAV,0,15795,21401.6,52166.4,4.33,1
S1,OAV,0,19257.75,17556,28758.4,3.67,1
5,OAV,0,8778.375,16218.4,14546.4,4,1
C3 ,CTRL,0,9659.25,15382.4,28758.4,2,1
17,OAV,0,8626.5,22655.6,5183.2,1,1
6926,OAV,0,10874.25,18559.2,54005.6,2.33,1
L75,CTRL,0,9507.375,15549.6,33105.6,3,1
L78,OAV,0,13972.5,18475.8,6688,8.33,1
4,CTRL,0,17010,14379.2,65876.8,7,1
1,OAV,0,12453.75,21150.8,49825.6,7.67,1
2,CTRL,0,8565.75,18392,34610.4,1,1
10,CTRL,0,8869.5,5350.4,2340.8,2.33,1
R63,CTRL,0,12180.375,23240.8,27420.8,6.33,1
RC1,CTRL,0,14215.5,20732.8,53086,8.67,1
C8,OAV,3,7806.375,15633.2,32604,4.67,1
30,OAV,3,3645,4347.2,20314.8,5,1
C6,CTRL,3,10995.75,15382.4,20565.6,8.33,1
C5,OAV,3,4829.625,5350.4,13877.6,5.33,1
SRC3,CTRL,3,8991,11118.8,25247.2,6,1
C2,OAV,3,9598.5,13376,9112.4,1.67,1
C1,CTRL,3,12939.75,15716.8,16970.8,7.67,1
C12,CTRL,3,9993.375,11704,15298.8,10.33,1
C15,OAV,3,5832,9781.2,25247.2,14.67,1
C9,CTRL,3,11269.125,21401.6,23408,4.67,1
13,OAV,3,11056.5,16218.4,35279.2,3,1
C33,CTRL,3,12089.25,11871.2,37285.6,12.67,1
8,OAV,3,9963,16720,25163.6,7.67,1
N51,OAV,3,10692,13041.6,38790.4,6,1
N42,CTRL,3,13122,13292.4,32102.4,3,1
BC15,CTRL,3,13972.5,11787.6,54172.8,8,1
B1,OAV,3,9932.625,14379.2,58018.4,8.67,1
S1,OAV,3,11178,14212,28089.6,4.67,1
5,OAV,3,9082.125,12456.4,30263.2,0.67,1
C3 ,CTRL,3,9234,14546.4,38456,2.67,1
17,OAV,3,5163.75,8945.2,12707.2,0.33,1
6926,OAV,3,4768.875,12623.6,60275.6,1,1
L75,CTRL,3,9325.125,8778,36533.2,1.67,1
L78,OAV,3,3675.375,9697.6,11954.8,2.67,1
1,OAV,3,4191.75,13543.2,58520,8.33,1
2,CTRL,3,8079.75,17221.6,31433.6,2.67,1
10,CTRL,3,5315.625,10533.6,35780.8,1.67,1
R63,CTRL,3,3705.75,11536.8,6855.2,16.33,1
RC1,CTRL,3,8869.5,18810,35195.6,12,1
C8,OAV,6,9234,10282.8,46983.2,9.67,1
30,OAV,6,8839.125,14713.6,25414.4,4.33,1
C6,CTRL,6,8687.25,16803.6,26919.2,27.33,1
C5,OAV,6,8444.25,16134.8,4180,4,1
SRC3,CTRL,6,NA,NA,NA,NA,0
C2,OAV,6,19561.5,17806.8,20900,4.33,1
C1,CTRL,6,11937.375,17138,23073.6,42.67,1
C12,CTRL,6,10023.75,20147.6,18642.8,8.67,1
C15,OAV,6,5315.625,12122,21234.4,17,1
C9,CTRL,6,10357.875,8945.2,33105.6,3,1
13,OAV,6,26365.5,23993.2,38957.6,2,1
C33,CTRL,6,12818.25,8778,35446.4,21.67,1
8,OAV,6,11937.375,23993.2,37787.2,9,1
N51,OAV,6,12089.25,19562.4,45645.6,4.67,1
N42,CTRL,6,13699.125,14880.8,36282.4,18.67,1
BC15,CTRL,6,13000.5,18392,41298.4,16.67,1
B1,OAV,6,9537.75,1254,59021.6,NA,1
S1,OAV,6,8383.5,16134.8,30096,7,1
5,OAV,6,10874.25,16887.2,34610.4,1.67,1
C3 ,CTRL,6,NA,NA,NA,NA,0
17,OAV,6,7593.75,14295.6,14880.8,6.33,1
6926,OAV,6,8535.375,16302,62031.2,0.33,1
L75,CTRL,6,11664,15549.6,43806.4,10.33,1
L78,OAV,6,3493.125,11536.8,8025.6,0.67,1
1,OAV,6,NA,NA,NA,NA,0
2,CTRL,6,11329.875,15298.8,43973.6,3,1
10,CTRL,6,11421,0,31266.4,4,1
R63,CTRL,6,3705.75,8945.2,2675.2,20,1
RC1,CTRL,6,7624.125,15215.2,32854.8,32.33,1
