Yard,Colony,Reader,FrameType,Bees,Brood,Honey,TimePoint
Pond,P1,Lewis,Deep,20.4,6.2,15.3,0
Pond,P2,Lewis,Deep,14,3.8,10.1,0
Pond,P3,Lewis,Deep,5.3,1.1,3,0
Pond,P4,Lewis,Deep,16.6,4.7,5.2,0
Pond,P5,Lewis,Deep,24.4,4.6,21.9,0
Pond,P7,Lewis,Deep,6.4,3.2,2.2,0
Pond,P9,Lewis,Deep,16.5,4.4,21.7,0
Pond,P10,Lewis,Deep,12.2,3.2,5.7,0
Pond,P11,Lewis,Deep,10.6,3.4,2,0
Pond,P12,Lewis,Deep,15.5,5.7,20,0
Pond,P13,Lewis,Deep,10.2,3.5,3.1,0
Pond,P14,Lewis,Deep,7.2,2.1,13.8,0
Pond,P15,Lewis,Deep,16.2,5.6,11.5,0
Pond,P16,Lewis,Deep,8.8,4.1,3.9,0
Pond,P17,Lewis,Deep,14.3,3.7,10.7,0
Pond,P1,Lewis,Shallow,0,0,0,0
Pond,P2,Lewis,Shallow,9.6,0.7,5.9,0
Pond,P3,Lewis,Shallow,2.8,2.4,28,0
Pond,P4,Lewis,Shallow,0,0,0,0
Pond,P5,Lewis,Shallow,0,0,0,0
Pond,P7,Lewis,Shallow,12.1,0.1,18.1,0
Pond,P9,Lewis,Shallow,4.7,0,0,0
Pond,P10,Lewis,Shallow,8.5,1,15,0
Pond,P11,Lewis,Shallow,7.9,0,0,0
Pond,P12,Lewis,Shallow,0,0,0,0
Pond,P13,Lewis,Shallow,6.7,3,12.4,0
Pond,P14,Lewis,Shallow,2.9,0.6,4.6,0
Pond,P15,Lewis,Shallow,14.4,0,0,0
Pond,P16,Lewis,Shallow,2.7,4.2,11.5,0
Pond,P17,Lewis,Shallow,0,0,0,0
Circle,C1,Lewis,Deep,7.9,2.9,1.4,0
Circle,C2,Lewis,Deep,11,3.9,2.4,0
Circle,C3,Lewis,Deep,10.3,3.2,3.3,0
Circle,C4,Lewis,Deep,6.2,1.8,0.7,0
Circle,C5,Lewis,Deep,4.5,1.9,8.1,0
Circle,C6,Lewis,Deep,14.1,1.4,11.2,0
Circle,C7,Lewis,Deep,7.1,3.4,14.7,0
Circle,C8,Lewis,Deep,5.7,2.4,3.8,0
Circle,C9,Lewis,Deep,6.2,2.5,5.7,0
Circle,C10,Lewis,Deep,5.6,1.2,6.5,0
Circle,C11,Lewis,Deep,8,4.4,1,0
Circle,C12,Lewis,Deep,11.6,4.4,3.2,0
Circle,C13,Lewis,Deep,4.8,2.9,4.3,0
Circle,C14,Lewis,Deep,13.4,5,3.4,0
Circle,C15,Lewis,Deep,12.2,6.7,2.5,0
Circle,C16,Lewis,Deep,10.9,3.8,2.8,0
Circle,C17,Lewis,Deep,13.4,3.5,13.6,0
Circle,C18,Lewis,Deep,9.8,4.1,10.2,0
Circle,C19,Lewis,Deep,11.6,4.6,2,0
Circle,C20,Lewis,Deep,2.1,0.9,0,0
Circle,C21,Lewis,Deep,6.7,1.9,1.6,0
Circle,C22,Lewis,Deep,7.1,3.1,0,0
Circle,C1,Lewis,Shallow,5.3,1.4,5.9,0
Circle,C2,Lewis,Shallow,6,2.1,8.8,0
Circle,C3,Lewis,Shallow,6.3,0.3,14.6,0
Circle,C4,Lewis,Shallow,4.6,1.8,7.1,0
Circle,C5,Lewis,Shallow,4.6,0.9,15.6,0
Circle,C6,Lewis,Shallow,7.6,2.1,21.7,0
Circle,C7,Lewis,Shallow,0,0,0,0
Circle,C8,Lewis,Shallow,0,0,0,0
Circle,C9,Lewis,Shallow,7.3,2.9,0,0
Circle,C10,Lewis,Shallow,2.7,2.4,13,0
Circle,C11,Lewis,Shallow,0,0,0,0
Circle,C12,Lewis,Shallow,2.8,0.2,13.9,0
Circle,C13,Lewis,Shallow,0,0,0,0
Circle,C14,Lewis,Shallow,0,0,0,0
Circle,C15,Lewis,Shallow,0,0,0,0
Circle,C16,Lewis,Shallow,0,0,0,0
Circle,C17,Lewis,Shallow,0,0,0,0
Circle,C18,Lewis,Shallow,0,0,0,0
Circle,C19,Lewis,Shallow,0,0,0,0
Circle,C20,Lewis,Shallow,4.7,1.3,0,0
Circle,C21,Lewis,Shallow,5.6,0,12.1,0
Circle,C22,Lewis,Shallow,6.6,2.5,3.2,0
Pond,P2,Katherine,Deep,15.5,4.1,10.5,0
Pond,P3,Katherine,Deep,4.5,0.8,2.9,0
Pond,P5,Katherine,Deep,31.3,8.2,23.7,0
Pond,P9,Katherine,Deep,19.4,4.8,21.2,0
Pond,P11,Katherine,Deep,10.1,2.6,2.7,0
Pond,P13,Katherine,Deep,10.5,2.5,1.7,0
Pond,P15,Katherine,Deep,19.5,4.4,11.3,0
Pond,P16,Katherine,Deep,11,2.3,2.8,0
Pond,P17,Katherine,Deep,9.5,2.6,7.5,0
Pond,P2,Katherine,Shallow,11.1,1.4,5.1,0
Pond,P3,Katherine,Shallow,5.8,4,14.8,0
Pond,P5,Katherine,Shallow,4.3,0,0,0
Pond,P9,Katherine,Shallow,5.1,0,0,0
Pond,P11,Katherine,Shallow,12.9,0,12.3,0
Pond,P13,Katherine,Shallow,12,2.8,12,0
Pond,P15,Katherine,Shallow,9.8,0,0,0
Pond,P16,Katherine,Shallow,3.5,3.1,9.7,0
Pond,P17,Katherine,Shallow,0,0,0,0
Farm,F1,Katherine,Deep,22.9,1.6,0.3,0
Farm,F2,Katherine,Deep,32.7,3.4,12.9,0
Farm,F3,Katherine,Deep,17,1.3,2.8,0
Farm,F4,Katherine,Deep,23.1,0.4,16,0
Farm,F5,Katherine,Deep,40,0.6,10.8,0
Farm,F6,Katherine,Deep,12.2,0.1,0.4,0
Farm,F7,Katherine,Deep,19.1,0.9,0,0
Farm,F8,Katherine,Deep,20.4,3.4,4.7,0
Farm,F9,Katherine,Deep,23.2,2.6,14.1,0
Farm,F10,Katherine,Deep,31.7,2,5.7,0
Farm,F11,Katherine,Deep,18.7,1.4,0.7,0
Farm,F12,Katherine,Deep,19.1,1.4,4.5,0
Farm,F13,Katherine,Deep,18.7,4,0.9,0
Farm,F14,Katherine,Deep,15.9,3.6,0.1,0
Farm,F15,Katherine,Deep,16.7,1.5,10.5,0
Farm,F16,Katherine,Deep,10.6,2.8,3.4,0
Farm,F17,Katherine,Deep,11.6,3.7,0.1,0
Farm,F18,Katherine,Deep,10.9,1.9,19,0
Farm,F19,Katherine,Deep,18.6,5.2,8,0
Farm,F1,Jennifer,Deep,21.6,2.9,2,0
Farm,F2,Jennifer,Deep,24.8,7.7,15.7,0
Farm,F3,Jennifer,Deep,15.3,2.5,2.6,0
Farm,F4,Jennifer,Deep,26,0.5,15.1,0
Farm,F5,Jennifer,Deep,29.2,0.6,11.6,0
Farm,F6,Jennifer,Deep,10.8,0.1,1.4,0
Farm,F7,Jennifer,Deep,15.5,1.2,0,0
Farm,F8,Jennifer,Deep,18.4,3.3,4.9,0
Farm,F9,Jennifer,Deep,22.2,2.9,15.5,0
