Yard,Colony,Reader,FrameType,Bees,Brood,Honey,TimePoint
Pond,P1,Lewis,Deep,19.7,6.8,7.8,42
Pond,P2,Lewis,Deep,13.2,3.2,7,42
Pond,P3,Lewis,Deep,7.1,1.9,1.3,42
Pond,P4,Lewis,Deep,12.7,4.5,8.2,42
Pond,P5,Lewis,Deep,23.2,5.2,15.9,42
Pond,P7,Lewis,Deep,8.5,4.9,0,42
Pond,P9,Lewis,Deep,14.8,5.1,15,42
Pond,P10,Lewis,Deep,11,4.5,1.7,42
Pond,P11,Lewis,Deep,12.4,4.9,1.9,42
Pond,P12,Lewis,Deep,17.6,4.7,7.5,42
Pond,P13,Lewis,Deep,9.9,4,1.2,42
Pond,P14,Lewis,Deep,11.3,6.1,12.5,42
Pond,P15,Lewis,Deep,16.1,6.1,12.2,42
Pond,P16,Lewis,Deep,12.5,1.5,1.6,42
Pond,P17,Lewis,Deep,16.5,5.7,9.8,42
Pond,P1,Katherine,Deep,29,7.8,15.8,42
Pond,P2,Katherine,Deep,14,3.3,7.4,42
Pond,P3,Katherine,Deep,9.9,2.2,1.2,42
Pond,P4,Katherine,Deep,15.4,4.5,7.7,42
Pond,P5,Katherine,Deep,26.1,4.4,15,42
Pond,P7,Katherine,Deep,9.7,6.1,0,42
Pond,P9,Katherine,Deep,17.9,4.8,22.7,42
Pond,P10,Katherine,Deep,12.2,4.5,1.7,42
Pond,P11,Katherine,Deep,14.1,5.1,1.8,42
Pond,P12,Katherine,Deep,20.3,7.2,18,42
Pond,P13,Katherine,Deep,12.9,4.1,0.8,42
Pond,P14,Katherine,Deep,11.9,4.8,10.5,42
Pond,P15,Katherine,Deep,20,7.2,7.2,42
Pond,P16,Katherine,Deep,12.4,1.5,1.3,42
Pond,P17,Katherine,Deep,16.8,5.2,8.1,42
Pond,P2,Lewis,Shallow,6.2,3.2,7,42
Pond,P3,Lewis,Shallow,7.1,1.9,1.3,42
Pond,P7,Lewis,Shallow,12.5,2.3,10.1,42
Pond,P9,Lewis,Shallow,2.1,0,0,42
Pond,P10,Lewis,Shallow,10.5,1.6,18.9,42
Pond,P11,Lewis,Shallow,4.1,1,9,42
Pond,P12,Lewis,Shallow,6,1.6,3.9,42
Pond,P13,Lewis,Shallow,1.8,4.5,7,42
Pond,P14,Lewis,Shallow,5.9,4.6,5.5,42
Pond,P15,Lewis,Shallow,2.3,0,0,42
Pond,P16,Lewis,Shallow,3.3,3,6.4,42
Pond,P2,Katherine,Shallow,6.6,0,2.4,42
Pond,P3,Katherine,Shallow,7.3,3.7,21.2,42
Pond,P7,Katherine,Shallow,9.7,4.2,6.8,42
Pond,P9,Katherine,Shallow,2,0,0,42
Pond,P10,Katherine,Shallow,14,2.5,16.6,42
Pond,P11,Katherine,Shallow,8.3,0.6,7.9,42
Pond,P12,Katherine,Shallow,6.5,0,0,42
Pond,P13,Katherine,Shallow,6.3,5.3,6.2,42
Pond,P14,Katherine,Shallow,9.6,3.7,7.2,42
Pond,P15,Katherine,Shallow,20,7.2,7.2,42
Pond,P16,Katherine,Shallow,7,3.4,6,42
Farm,F1,Lewis,Deep,3.4,0.1,5.9,42
Farm,F2,Lewis,Deep,12.7,4,14.3,42
Farm,F3,Lewis,Deep,11.8,5.7,3.2,42
Farm,F4,Lewis,Deep,26.3,5.7,10.6,42
Farm,F5,Lewis,Deep,28.9,7.2,9.1,42
Farm,F6,Lewis,Deep,5.8,0.9,2.4,42
Farm,F7,Lewis,Deep,10.4,4.2,2.7,42
Farm,F8,Lewis,Deep,14.3,6,9.1,42
Farm,F9,Lewis,Deep,11.4,3.4,13.4,42
Farm,F10,Lewis,Deep,18.6,6.7,11.9,42
Farm,F11,Lewis,Deep,10.5,4.3,4.8,42
Farm,F12,Lewis,Deep,13.6,5.7,7.4,42
Farm,F13,Lewis,Deep,7.5,2.4,7.3,42
Farm,F14,Lewis,Deep,12.1,6.7,2.7,42
Farm,F15,Lewis,Deep,13.6,4.3,8.2,42
Farm,F16,Lewis,Deep,8.4,4,5.1,42
Farm,F17,Lewis,Deep,4.7,2.2,0,42
Farm,F18,Lewis,Deep,10.5,5.2,14.6,42
Farm,F19,Lewis,Deep,19.5,6.1,7.4,42
Farm,F1,Jennifer,Deep,4,0.1,5.4,42
Farm,F2,Jennifer,Deep,11.3,3.1,9.7,42
Farm,F3,Jennifer,Deep,10.9,5,9.7,42
Farm,F4,Jennifer,Deep,19.2,9.6,11,42
Farm,F5,Jennifer,Deep,24.5,7.9,8.5,42
Farm,F6,Jennifer,Deep,5.7,0.7,3.5,42
Farm,F7,Jennifer,Deep,10.9,3.4,2.9,42
Farm,F8,Jennifer,Deep,17.7,5.2,8.5,42
Farm,F9,Jennifer,Deep,11.2,3.7,12.7,42
Farm,F10,Jennifer,Deep,15.3,6.3,11.9,42
Farm,F11,Katherine,Deep,11.6,4.7,3.8,42
Farm,F12,Katherine,Deep,11.7,4.2,6.6,42
Farm,F13,Katherine,Deep,6.8,1.5,5.3,42
Farm,F14,Katherine,Deep,10.7,4.4,1.2,42
Farm,F15,Katherine,Deep,14.1,3.9,7.7,42
Farm,F16,Katherine,Deep,7.5,3.7,1.5,42
Farm,F17,Katherine,Deep,4.3,1.5,0,42
Farm,F18,Katherine,Deep,12.1,5.9,13.1,42
Farm,F19,Katherine,Deep,17.7,6.5,6.7,42
Circle,C1,Lewis,Deep,9.1,4.2,0.3,42
Circle,C2,Lewis,Deep,8.1,4.6,0,42
Circle,C3,Lewis,Deep,7.9,3.2,2.7,42
Circle,C4,Lewis,Deep,6.1,3.2,0,42
Circle,C5,Lewis,Deep,4.6,2.1,5.9,42
Circle,C6,Lewis,Deep,8,2.4,9.1,42
Circle,C7,Lewis,Deep,6.6,4.1,5.5,42
Circle,C8,Lewis,Deep,6.5,3.9,2.8,42
Circle,C9,Lewis,Deep,5.9,2.1,0,42
Circle,C10,Lewis,Deep,7.3,3.6,2.8,42
Circle,C12,Lewis,Deep,11,6.2,0,42
Circle,C13,Lewis,Deep,6.9,2.1,3.1,42
Circle,C14,Lewis,Deep,9.5,3,3,42
Circle,C15,Lewis,Deep,6.9,4.7,2.2,42
Circle,C16,Lewis,Deep,4.8,4.8,1.1,42
Circle,C17,Lewis,Deep,11,4.7,13,42
Circle,C18,Lewis,Deep,9.1,5,7,42
Circle,C19,Lewis,Deep,5.9,3.9,2,42
Circle,C20,Lewis,Deep,2.2,0.4,0,42
Circle,C21,Lewis,Deep,6.3,2.9,0.8,42
Circle,C22,Lewis,Deep,4.1,2.2,0,42
Circle,C1,Lewis,Shallow,8.7,0.8,12,42
Circle,C2,Lewis,Shallow,9.3,0.4,13.1,42
Circle,C3,Lewis,Shallow,9.6,0.6,13.3,42
Circle,C4,Lewis,Shallow,4.5,8,5.5,42
Circle,C5,Lewis,Shallow,3.8,0,16.6,42
Circle,C6,Lewis,Shallow,6.3,3.8,14.6,42
Circle,C9,Lewis,Shallow,12.8,4.3,0,42
Circle,C10,Lewis,Shallow,5.3,2.5,10.8,42
Circle,C12,Lewis,Shallow,11,0.1,11.5,42
Circle,C15,Lewis,Shallow,3.9,0,0,42
Circle,C16,Lewis,Shallow,2.9,0,0,42
Circle,C18,Lewis,Shallow,4,0.1,0,42
Circle,C19,Lewis,Shallow,2.6,0,0,42
Circle,C20,Lewis,Shallow,6,0.8,0,42
Circle,C21,Lewis,Shallow,3.4,1.4,10.6,42
Circle,C22,Lewis,Shallow,5.8,3.2,0,42
Circle,C1,Jennifer,Deep,7.2,5,0,42
Circle,C2,Jennifer,Deep,6.4,5.2,0,42
Circle,C3,Jennifer,Deep,6.1,3.5,2.4,42
